Inspection_ID,Lot_ID,Product_Type,Inspection_Tool,Line_Width,Overlay_Error,Particle_Count,Pass_Fail,Review_Time,Timestamp
I-7000,LOT-2500,Logic-A,ins-01,38.4,2.77,13,PASS,15.5,2026/3/1 08:00
I-7001,LOT-2500,Memory-B,INS-02,39.33,1.77,12,PASS,23.6,2026/3/1 09:09
I-7002,LOT-2500,Sensor-C,INS-03,40.48,1.87,8,PASS,22.4,2026/3/1 10:18
I-7003,LOT-2501,Logic-A,INS-01,37.68,2.06,15,PASS,13.8,2026/3/1 11:27
I-7004,LOT-2501,Memory-B,INS-02,39.27,1.48,11,PASS,14.7,2026/3/1 12:36
I-7005,LOT-2501,Sensor-C,INS-03,40.57,2.23,13,PASS,21.8,2026/3/1 13:45
I-7006,LOT-2502,Logic-A,INS-01,38.89,2.49,14,PASS,15.4,2026/3/1 14:54
I-7007,LOT-2502,Memory-B,INS-02,39.93,1.13,11,PASS,15.6,2026/3/1 15:03
I-7008,LOT-2502,Sensor-C,INS-03,40.53,2.08,14,PASS,20.5,2026/3/1 08:12
I-7009,LOT-2503,Logic-A,INS-01,38.75,1.81,14,PASS,17.9,2026/3/1 09:21
I-7010,LOT-2503,Memory-B,INS-02,38.41,2.2,10,PASS,20.9,2026/3/1 10:30
I-7011,LOT-2503,Sensor-C,INS-03,41.12,1.79,13,PASS,18.6,2026/3/1 11:39
I-7012,LOT-2504,Logic-A,INS-01,37.93,,14,PASS,12.5,2026/3/1 12:48
I-7013,LOT-2504,Memory-B,ins-02,39.08,1.17,10,PASS,21.5,2026/3/1 13:57
I-7014,LOT-2504,Sensor-C,INS-03,40.24,2.84,13,PASS,19.6,2026/3/1 14:06
I-7015,LOT-2505,Logic-A,INS-01,38.24,2.57,14,PASS,11.7,2026/3/1 15:15
I-7016,LOT-2505,Memory-B,INS-02,39.67,1.87,14,PASS,19.4,2026/3/2 08:24
I-7017,LOT-2505,Sensor-C,INS-03,40.79,2.32,18,PASS,17.2,2026/3/2 09:33
I-7018,LOT-2506,Logic-A,INS-01,37.13,2.09,10,PASS,21.7,2026/3/2 10:42
I-7019,LOT-2506,Memory-B,INS-02,38.76,1.92,12,PASS,14.6,2026/3/2 11:51
I-7020,LOT-2506,Sensor-C,INS-03,41.38,2.06,14,PASS,16.6,2026/3/2 12:00
I-7021,LOT-2507,Logic-A,INS-01,37.72,2.63,10,PASS,21.4,2026/3/2 13:09
I-7022,LOT-2507,Memory-B,INS-02,39.49,1.54,12,PASS,15.4,2026/3/2 14:18
I-7023,LOT-2507,Sensor-C,INS-03,41.49,2.53,13,PASS,23.6,2026/3/2 15:27
I-7024,LOT-2508,Logic-A,INS-01,37.98,2.31,11,PASS,25.1,2026/3/2 08:36
I-7025,LOT-2508,Memory-B,INS-02,39.2,1.41,7,PASS,18.4,2026/3/2 09:45
I-7026,LOT-2508,Sensor-C,ins-03,41.22,2.47,8,PASS,24.1,2026/3/2 10:54
I-7027,LOT-2509,Logic-A,INS-01,37.46,1.68,11,PASS,13.4,2026/3/2 11:03
I-7028,LOT-2509,Memory-B,INS-02,manual_check,1.32,8,PASS,15.9,2026/3/2 12:12
I-7029,LOT-2509,Sensor-C,INS-03,40.42,2.09,12,PASS,17,2026/3/2 13:21
I-7030,LOT-2510,Logic-A,INS-01,37.14,2.77,12,PASS,13.2,2026/3/2 14:30
I-7031,LOT-2510,Memory-B,INS-02,39.3,1.82,10,PASS,14,2026/3/2 15:39
I-7032,LOT-2510,Sensor-C,INS-03,41.61,1.13,11,PASS,18.5,2026/3/3 08:48
I-7033,LOT-2511,Logic-A,INS-01,37.58,2.37,14,PASS,18.3,2026/3/3 09:57
I-7034,LOT-2511,Memory-B,INS-02,39.68,2.49,16,PASS,11.2,2026/3/3 10:06
I-7035,LOT-2511,Sensor-C,INS-03,41.89,3.19,14,PASS,18.6,2026/3/3 11:15
I-7036,LOT-2512,Logic-A,INS-01,38.6,1.77,11,PASS,19.4,2026/3/3 12:24
I-7037,LOT-2512,Memory-B,INS-02,40.23,2.26,13,PASS,16.1,2026/3/3 13:33
I-7038,LOT-2512,Sensor-C,INS-03,40.76,2.24,13,PASS,11.9,2026/3/3 14:42
I-7039,LOT-2513,Logic-A,ins-01,37.93,1.67,12,PASS,14.3,2026/3/3 15:51
I-7039,LOT-2513,Logic-A,ins-01,37.93,1.67,12,PASS,14.3,2026/3/3 15:51
I-7040,LOT-2513,Memory-B,INS-02,40.2,2.04,13,PASS,11.1,2026/3/3 08:00
I-7041,LOT-2513,Sensor-C,INS-03,40.88,1.92,10,PASS,20.5,2026/3/3 09:09
I-7042,LOT-2514,Logic-A,INS-01,37.99,2.21,14,PASS,21.7,2026/3/3 10:18
I-7043,LOT-2514,Memory-B,INS-02,40.05,2.77,14,PASS,16.8,2026/3/3 11:27
I-7044,LOT-2514,Sensor-C,INS-03,40.79,1.82,11,PASS,22.4,2026/3/3 12:36
I-7045,LOT-2515,Logic-A,INS-01,37.88,1.94,9,PASS,12.6,2026/3/3 13:45
I-7046,LOT-2515,Memory-B,INS-02,39.77,2.71,11,PASS,18.9,2026/3/3 14:54
I-7047,LOT-2515,Sensor-C,INS-03,41.18,2.18,9,PASS,13.7,2026/3/3 15:03
I-7048,LOT-2516,Logic-A,INS-01,38.44,2.33,11,PASS,19.3,2026/3/4 08:12
I-7049,LOT-2516,Memory-B,INS-02,39.39,2.65,17,PASS,14.3,03/04/2026 09:21
I-7050,LOT-2516,Sensor-C,INS-03,41.14,1.71,12,PASS,18.1,03/04/2026 10:30
I-7051,LOT-2517,Logic-A,INS-01,38.05,2.41,13,PASS,16.9,03/04/2026 11:39
I-7052,LOT-2517,Memory-B,ins-02,39.98,2.52,19,PASS,18.8,03/04/2026 12:48
I-7053,LOT-2517,Sensor-C,INS-03,40.55,3.21,16,PASS,15.8,03/04/2026 13:57
I-7054,LOT-2518,Logic-A,INS-01,37.92,2.28,73,PASS,18,03/04/2026 14:06
I-7055,LOT-2518,Memory-B,INS-02,40.5,3.89,13,fail,14.7,03/04/2026 15:15
I-7056,LOT-2518,Sensor-C,INS-03,40.82,2.44,16,PASS,17,03/04/2026 08:24
I-7057,LOT-2519,Logic-A,INS-01,38.08,1.89,13,PASS,20,03/04/2026 09:33
