Lot_ID,Wafer_ID,Machine_ID,Process_Time,Temperature,Pressure,Defect_Count,Yield,Timestamp
LOT-2401,W001,EQ-01,50.5,71.8,2.14,10,94.2,2026-03-01 08:00
LOT-2401,W002,EQ-02,52.1,73.5,2.22,16,91.7,2026-03-01 09:12
LOT-2401,W003,eq03,56.7,81.4,2.41,53,74.1,2026-03-01 10:24
LOT-2402,W004,EQ02,53.1,72.5,2.20,14,92.7,2026-03-01 09:00
LOT-2402,W005,EQ-03,57.8,81.9,2.43,50,73.9,2026-03-01 10:12
LOT-2402,W006,EQ-04,56.4,75.0,2.31,20,89.7,2026-03-01 11:24
LOT-2403,W007,EQ-03,57.5,81.6,2.45,53,73.4,2026-03-01 10:00
LOT-2403,W008,EQ-04,56.1,73.8,2.26,23,89.7,2026-03-01 11:12
LOT-2403,W009,eq01,53.2,72.3,2.18,17,,2026-03-01 08:24
LOT-2404,W010,EQ04,56.2,74.5,2.27,25,87.5,2026-03-01 11:00
LOT-2404,W011,eq01,50.7,71.7,2.18,6,96.5,2026-03-01 08:12
LOT-2404,W012,EQ-02,54.4,72.9,2.23,17,90.7,2026-03-01 09:24
LOT-2405,W013,EQ-01,51.7,71.9,2.18,7,95.3,2026-03-01 08:00
LOT-2405,W014,EQ-02,51.5,72.9,2.22,11,92.8,2026-03-01 09:12
LOT-2405,W014,EQ-02,51.5,72.9,2.22,11,92.8,2026-03-01 09:12
LOT-2405,W015,eq03,57.6,81.0,2.42,44,76.3,2026-03-01 10:24
LOT-2406,W016,EQ02,52.5,72.6,2.20,11,93.5,2026-03-02 09:00
LOT-2406,W017,eq03,not_recorded,81.7,2.42,51,74.9,2026-03-02 10:12
LOT-2406,W018,EQ-04,54.7,73.6,2.29,17,90.5,2026-03-02 11:24
LOT-2407,W019,eq03,56.6,81.5,2.42,52,73.8,2026-03-02 10:00
LOT-2407,W020,EQ-04,55.2,74.2,2.30,18,90.5,2026-03-02 11:12
LOT-2407,W021,EQ01,49.8,71.8,2.20,7,94.0,2026-03-02 08:24
LOT-2408,W022,EQ04,55.3,74.5,2.29,18,91.3,2026-03-02 11:00
LOT-2408,W023,eq01,50.9,71.9,2.18,12,92.2,2026-03-02 08:12
LOT-2408,W024,EQ-02,53.5,72.1,2.21,12,93.9,2026-03-02 09:24
LOT-2409,W025,EQ01,49.5,72.4,2.21,9,95.0,2026-03-02 08:00
LOT-2409,W026,EQ-02,52.3,73.1,2.20,14,92.3,2026-03-02 09:12
LOT-2409,W027,EQ-03,58.0,81.6,2.45,53,72.6,2026-03-02 10:24
LOT-2410,W028,EQ-02,51.9,73.0,2.24,14,94.0,2026-03-02 09:00
LOT-2410,W029,EQ-03,57.9,81.1,2.43,53,73.3,2026-03-02 10:12
LOT-2410,W030,EQ04,55.2,74.2,2.31,21,89.7,2026-03-02 11:24
LOT-2411,W031,eq03,56.6,82.7,2.42,57,71.9,2026-03-03 10:00
LOT-2411,W032,EQ-04,56.1,73.7,2.29,22,90.0,2026-03-03 11:12
LOT-2411,W033,eq01,50.3,71.5,2.18,6,94.7,2026-03-03 08:24
LOT-2412,W034,EQ04,56.1,73.9,2.29,21,90.6,2026-03-03 11:00
LOT-2412,W035,EQ01,50.5,72.1,2.17,8,94.3,2026-03-03 08:12
LOT-2412,W036,EQ02,52.8,72.7,2.21,14,93.2,2026-03-03 09:24
LOT-2413,W037,EQ-01,50.0,72.1,2.17,10,93.4,2026-03-03 08:00
LOT-2413,W038,EQ02,52.7,72.3,2.20,13,92.3,2026-03-03 09:12
LOT-2413,W039,eq03,56.8,82.0,2.39,53,72.9,2026-03-03 10:24
LOT-2414,W040,EQ-02,52.4,73.0,2.19,14,93.7,2026-03-03 09:00
LOT-2414,W041,EQ-03,57.9,81.9,2.43,53,73.9,2026-03-03 10:12
LOT-2414,W042,EQ-04,56.6,74.0,2.30,19,90.2,2026-03-03 11:24
LOT-2415,W043,EQ-03,57.1,81.1,2.44,47,75.0,2026-03-03 10:00
LOT-2415,W044,EQ-04,55.0,73.9,2.28,22,91.2,2026-03-03 11:12
LOT-2415,W045,EQ01,52.3,71.5,2.17,10,94.4,2026-03-03 08:24
LOT-2416,W046,EQ04,54.5,73.9,2.27,18,92.1,03/04/2026 11:00
LOT-2416,W047,EQ01,50.1,72.3,2.17,15,91.4,03/04/2026 08:12
LOT-2416,W048,EQ-02,51.1,72.6,2.20,17,91.8,03/04/2026 09:24
LOT-2417,W049,EQ-01,53.0,71.9,2.18,12,93.3,03/04/2026 08:00
LOT-2417,W050,EQ02,52.7,73.0,2.22,12,93.9,03/04/2026 09:12
LOT-2417,W051,eq03,55.9,82.0,2.44,54,72.5,03/04/2026 10:24
LOT-2418,W052,EQ-02,52.2,89.0,2.19,11,62.0,03/04/2026 09:00
LOT-2418,W053,EQ-03,57.6,81.4,2.43,50,74.6,03/04/2026 10:12
LOT-2418,W054,EQ-04,55.5,74.4,2.28,22,89.8,03/04/2026 11:24
