Batch_ID,Chamber_ID,Recipe_ID,Gas_Flow,RF_Power,Etch_Time,Thickness,Defect_Rate,Timestamp
B-5200,cha,RCP-ETCH-2,49.61,321.7,42.5,104.48,1.95,2026/3/1 07:00
B-5201,CH-B,RCP-ETCH-1,48.26,324.5,40.5,105.54,2.17,2026/3/1 08:07
B-5202,CH-C,RCP-ETCH-2,47.17,317.5,41.1,101.58,1.91,2026/3/1 09:14
B-5203,CH-A,RCP-ETCH-1,48.02,319.7,40.6,105.18,1.5,2026/3/1 10:21
B-5204,CH-B,RCP-ETCH-2,49.53,330.7,42.4,105.82,1.87,2026/3/1 11:28
B-5205,CH-C,RCP-ETCH-1,46.95,307.1,41.1,104.22,1.71,2026/3/1 12:35
B-5206,CH-A,RCP-ETCH-2,47.39,316.1,41.1,106.34,2.03,2026/3/1 13:42
B-5207,CH-B,RCP-ETCH-1,47.69,330,43.2,104.44,2.4,2026/3/1 14:49
B-5208,CH-C,RCP-ETCH-2,46.63,321.9,42.7,102.14,1.64,2026/3/1 15:56
B-5209,CH-A,RCP-ETCH-1,48.48,325.5,42.6,101.75,1.65,2026/3/1 16:03
B-5210,CH-B,RCP-ETCH-2,48.92,330.4,40.5,107.08,2.43,2026/3/1 07:10
B-5211,CH-C,RCP-ETCH-1,47.36,328.4,42.7,104.64,1.82,2026/3/1 08:17
B-5212,CH-A,RCP-ETCH-2,48.51,317.8,42.4,105.54,1.27,2026/3/1 09:24
B-5213,CH-B,RCP-ETCH-1,49.87,321.4,42,104.93,2.05,2026/3/1 10:31
B-5214,CH-C,RCP-ETCH-2,46.02,316.7,43.3,102.07,1.46,2026/3/1 11:38
B-5215,CH-A,RCP-ETCH-1,48.93,320.2,44.3,104.8,1.63,2026/3/1 12:45
B-5216,CH-B,RCP-ETCH-2,49.25,325.6,43.3,102.4,1.74,2026/3/1 13:52
B-5217,CH-C,RCP-ETCH-1,47.93,318.5,42.6,103.72,1.42,2026/3/1 14:59
B-5218,CH-A,RCP-ETCH-2,48.1,316.1,41.8,103.67,1.42,2026/3/2 15:06
B-5219,CH-B,RCP-ETCH-1,49.99,321.5,40.5,104.73,2.29,2026/3/2 16:13
B-5220,CH-C,RCP-ETCH-2,45.48,319.5,43.2,101.96,1.57,2026/3/2 07:20
B-5221,CH-A,RCP-ETCH-1,47.22,314.9,41.8,,1.82,2026/3/2 08:27
B-5222,CH-B,RCP-ETCH-2,49.88,324.6,39.6,103.1,1.86,2026/3/2 09:34
B-5223,CH-C,RCP-ETCH-1,46.24,316.1,43.6,103.39,1.19,2026/3/2 10:41
B-5224,CH-A,RCP-ETCH-2,48.92,316.3,41.1,104.22,1.55,2026/3/2 11:48
B-5225,CH-B,RCP-ETCH-1,48.9,326.7,40.5,104.8,1.97,2026/3/2 12:55
B-5226,CH-C,RCP-ETCH-2,47.17,317.2,42.1,100.25,1.54,2026/3/2 13:02
B-5227,CH-A,RCP-ETCH-1,49.52,315.7,40.9,103.26,1.63,2026/3/2 14:09
B-5228,CH-B,RCP-ETCH-2,49.48,321.5,42.2,105.67,1.81,2026/3/2 15:16
B-5229,CH-C,RCP-ETCH-1,47.38,318.1,41,104.09,1.62,2026/3/2 16:23
B-5230,CH-A,RCP-ETCH-2,47.75,310.6,42.9,102.47,2.1,2026/3/2 07:30
B-5231,CH-B,RCP-ETCH-1,48.19,322.3,42.1,103.96,2.13,2026/3/2 08:37
B-5232,CH-C,RCP-ETCH-2,48.73,312.2,41.2,103.44,1.47,2026/3/2 09:44
B-5233,cha,RCP-ETCH-1,sensor_error,330.9,42.2,102.76,1.6,2026/3/2 10:51
B-5234,CH-B,RCP-ETCH-2,48.86,324.8,40.9,105.77,1.74,2026/3/2 11:58
B-5235,CH-C,RCP-ETCH-1,47.7,320.4,41.7,104.65,1.59,2026/3/2 12:05
